title,channel_name,Publish date,link,referrer
"Are Intents, SUAVE, Account Abstraction, & Cross-Chain Bridging all the same thing? - Uma Roy",Research Day,2023-05-26,https://www.youtube.com/watch?v=G0nFyq9DDPw,https://www.twitter.com/unlock_VALue
Modular Summit Day 2 (Galois Stage),Celestia,2023-07-22,https://www.youtube.com/watch?v=WYH7n4M016A&list=PLNEU2yZH9vML2gnRxGPwXqVczJA7MFR7W&index=5&t=19043s,https://www.twitter.com/unlock_VALue
Modular Summit Day 2 (Galois Stage),Celestia,2023-07-22,https://www.youtube.com/watch?v=WYH7n4M016A&list=PLNEU2yZH9vML2gnRxGPwXqVczJA7MFR7W&index=5&t=20500s,https://www.twitter.com/unlock_VALue
'Censorship Resistance in On-Chain Auctions',SMG,2023-06-26,https://www.youtube.com/watch?v=p4hA47S4d9A,https://www.twitter.com/unlock_VALue
💮 Whiteboard: Episode 1 [An Overview of Credible Commitment Devices with Barnabé Monnot],Flashbots,2022-12-15,https://www.youtube.com/watch?v=P-4BK06vhr0,https://www.twitter.com/unlock_VALue
Thematic Call :: Exploring MEV With Flashbots,Pantera Capital,2023-08-09,https://www.youtube.com/watch?v=qXZ6Mdwi8ng,https://www.twitter.com/unlock_VALue
The 6th Science of Blockchain Conference (Monday),Stanford Video,2023-08-19,https://www.youtube.com/watch?v=E4YkppHQZgw,https://www.twitter.com/unlock_VALue
The 6th Science of Blockchain Conference (Tuesday),Stanford Video,2023-08-19,https://www.youtube.com/watch?v=Nx5bgyJ7SJ4,https://www.twitter.com/unlock_VALue
The 6th Science of Blockchain Conference (Wednesday),Stanford Video,2023-08-19,https://www.youtube.com/watch?v=NFJWy8oyVS0,https://www.twitter.com/unlock_VALue
"Frontrunning in Decentralized Exchanges, Miner Extractable Value, and Consensus Instability",IEEE Symposium on Security and Privacy,2020-05-19,https://www.youtube.com/watch?v=vR1v7AQ8i3k,https://twitter.com/Freddmannen
"Phil Daian- ""DeFi Composability - Friend or Foe?""",IC3 Initiative for Cryptocurrencies and Contracts,2020-08-06,https://www.youtube.com/watch?v=55o-1On5a2U,https://twitter.com/Freddmannen
